Timestamp,TimeDelta,RtpTimeDelta,SizeDelta,RCState,NumDeltas,BWState,NoiseVar,RecvRate,RecvBWE,SSRC,LastT,Threshold,TimeOverUsing,RCRegion,RCAvgMax,RCVarMax
303056475,   52,   69.000000, -1171, -, 123, 0,          -,      -,      -,         -,  0.588469, 12.500000, -1.000000, -,      -,       -
303056506,   79,   69.000000,   124, -, 124, 0,          -,      -,      -,         -,  0.882913, 12.500000, -1.000000, -,      -,       -
303056510,    -,           -,     -, 1,   -, -, 343.096005, 216664, 258077,         0,         -,         -,         -, 2,  -1000,0.400000
303056543,   19,   34.000000, -1408, -, 125, 0,          -,      -,      -,         -,  1.144465, 12.500000, -1.000000, -,      -,       -
303056609,   51,   36.000000,  1283, -, 126, 0,          -,      -,      -,         -,  0.941798, 12.500000, -1.000000, -,      -,       -
303056683,   63,   68.000000,   154, -, 127, 0,          -,      -,      -,         -,  0.659263, 12.500000, -1.000000, -,      -,       -
303056712,    -,           -,     -, 1,   -, -, 335.985580, 219976, 262120,         0,         -,         -,         -, 2,  -1000,0.400000
303056748,   75,   69.000000,  -115, -, 128, 0,          -,      -,      -,         -,  0.957281, 12.500000, -1.000000, -,      -,       -
303056840,   72,   69.000000,   -31, -, 129, 0,          -,      -,      -,         -,  1.091702, 12.500000, -1.000000, -,      -,       -
303056913,    -,           -,     -, 1,   -, -, 331.015883, 212632, 266206,         0,         -,         -,         -, 2,  -1000,0.400000
303056942,   84,   69.000000,   139, -, 130, 0,          -,      -,      -,         -,  1.592255, 12.500000, -1.000000, -,      -,       -
303056986,  100,   69.000000,  -197, -, 131, 0,          -,      -,      -,         -,  2.900131, 12.500000, -1.000000, -,      -,       -
303057045,   45,   69.000000,  -123, -, 132, 0,          -,      -,      -,         -,  2.051446, 12.500000, -1.000000, -,      -,       -
303057108,   61,  104.000000,   -52, -, 133, 0,          -,      -,      -,         -,  0.479076, 12.500000, -1.000000, -,      -,       -
303057113,    -,           -,     -, 1,   -, -, 349.336104, 227016, 270335,         0,         -,         -,         -, 2,  -1000,0.400000
303057195,   60,   35.000000,  -301, -, 134, 0,          -,      -,      -,         -,  1.574275, 12.500000, -1.000000, -,      -,       -
303057261,   93,  104.000000,   669, -, 135, 0,          -,      -,      -,         -,  0.766416, 12.500000, -1.000000, -,      -,       -
303057313,    -,           -,     -, 1,   -, -, 354.420965, 209904, 274528,         0,         -,         -,         -, 2,  -1000,0.400000
303057326,   50,   35.000000, -1217, -, 136, 0,          -,      -,      -,         -,  1.987759, 12.500000, -1.000000, -,      -,       -
303057409,   79,   69.000000,  1089, -, 137, 0,          -,      -,      -,         -,  1.720492, 12.500000, -1.000000, -,      -,       -
303057471,   81,   69.000000,  -382, -, 138, 0,          -,      -,      -,         -,  2.383412, 12.500000, -1.000000, -,      -,       -
303057514,    -,           -,     -, 1,   -, -, 357.506676, 188896, 278807,         0,         -,         -,         -, 2,  -1000,0.400000
303057550,   59,   69.000000,   -40, -, 139, 0,          -,      -,      -,         -,  2.030527, 12.500000, -1.000000, -,      -,       -
303057629,   78,   69.000000,   305, -, 140, 0,          -,      -,      -,         -,  2.190374, 12.500000, -1.000000, -,      -,       -
303057702,   91,  104.000000,   596, -, 141, 0,          -,      -,      -,         -,  1.334107, 12.500000, -1.000000, -,      -,       -
303057716,    -,           -,     -, 1,   -, -, 354.160517, 193816, 283175,         0,         -,         -,         -, 2,  -1000,0.400000
303057766,   69,   70.000000,   183, -, 142, 0,          -,      -,      -,         -,  1.184662, 12.500000, -1.000000, -,      -,       -
303057834,   82,   36.000000,  1462, -, 143, 0,          -,      -,      -,         -,  2.088033, 12.500000, -1.000000, -,      -,       -
303057903,   40,   68.000000, -2500, -, 144, 0,          -,      -,      -,         -,  2.504707, 12.500000, -1.000000, -,      -,       -
303057917,    -,           -,     -, 1,   -, -, 350.595279, 222664, 287589,         0,         -,         -,         -, 2,  -1000,0.400000
303057924,   74,   69.000000,   231, -, 145, 0,          -,      -,      -,         -,  2.557632, 12.500000, -1.000000, -,      -,       -
303057981,   11,   35.000000, -1359, -, 146, 0,          -,      -,      -,         -,  2.449946, 12.500000, -1.000000, -,      -,       -
303058044,   69,   35.000000,  1672, -, 147, 0,          -,      -,      -,         -,  2.770085, 12.500000, -1.000000, -,      -,       -
303058062,   61,   69.000000,  -150, -, 148, 0,          -,      -,      -,         -,  2.539674, 12.500000, -1.000000, -,      -,       -
303058118,    -,           -,     -, 1,   -, -, 340.203990, 208208, 292072,         0,         -,         -,         -, 2,  -1000,0.400000
303058122,    8,   35.000000, -1541, -, 149, 0,          -,      -,      -,         -,  2.424481, 12.500000, -1.000000, -,      -,       -
303058192,   83,   36.000000,  1426, -, 150, 0,          -,      -,      -,         -,  3.453128, 12.500000, -1.000000, -,      -,       -
303058214,   58,   68.000000,    86, -, 151, 0,          -,      -,      -,         -,  2.981393, 12.500000, -1.000000, -,      -,       -
303058272,   10,   35.000000, -1315, -, 152, 0,          -,      -,      -,         -,  2.803862, 12.500000, -1.000000, -,      -,       -
303058320,    -,           -,     -, 1,   -, -, 335.287193, 234512, 296648,         0,         -,         -,         -, 2,  -1000,0.400000
303058341,   68,   35.000000,  1353, -, 153, 0,          -,      -,      -,         -,  3.303712, 12.500000, -1.000000, -,      -,       -
303058403,   80,   69.000000,   882, -, 154, 0,          -,      -,      -,         -,  3.175659, 12.500000, -1.000000, -,      -,       -
303058419,   50,   69.000000, -1284, -, 155, 0,          -,      -,      -,         -,  3.226554, 12.500000, -1.000000, -,      -,       -
303058484,    7,   35.000000, -1128, -, 156, 0,          -,      -,      -,         -,  2.787796, 12.500000, -1.000000, -,      -,       -
303058501,   74,   35.000000,  1266, -, 157, 0,          -,      -,      -,         -,  3.632220, 12.500000, -1.000000, -,      -,       -
303058521,    -,           -,     -, 1,   -, -, 325.713582, 250728, 301272,         0,         -,         -,         -, 2,  -1000,0.400000
303058549,    8,   35.000000, -1068, -, 158, 0,          -,      -,      -,         -,  3.191730, 12.500000, -1.000000, -,      -,       -
303058571,   61,   35.000000,  1449, -, 159, 0,          -,      -,      -,         -,  3.327500, 12.500000, -1.000000, -,      -,       -
303058638,   10,   35.000000, -1353, -, 160, 0,          -,      -,      -,         -,  3.167957, 12.500000, -1.000000, -,      -,       -
303058704,   99,   36.000000,  2175, -, 161, 0,          -,      -,      -,         -,  4.477367, 12.500000, -1.000000, -,      -,       -
303058723,    -,           -,     -, 1,   -, -, 321.640372, 256208, 305992,         0,         -,         -,         -, 2,  -1000,0.400000
303058769,   43,   68.000000, -1025, -, 162, 0,          -,      -,      -,         -,  4.088236, 12.500000, -1.000000, -,      -,       -
303058850,   67,   69.000000,    46, -, 163, 0,          -,      -,      -,         -,  3.959235, 12.500000, -1.000000, -,      -,       -
303058870,   81,   69.000000,   154, -, 164, 0,          -,      -,      -,         -,  4.400560, 12.500000, -1.000000, -,      -,       -
303058919,    8,   35.000000, -1499, -, 165, 0,          -,      -,      -,         -,  4.258246, 12.500000, -1.000000, -,      -,       -
303058924,    -,           -,     -, 1,   -, -, 310.703773, 238288, 310762,         0,         -,         -,         -, 2,  -1000,0.400000
303059001,   71,   35.000000,  2360, -, 166, 0,          -,      -,      -,         -,  4.167876, 12.500000, -1.000000, -,      -,       -
303059021,   72,   69.000000,  -635, -, 167, 0,          -,      -,      -,         -,  4.793364, 12.500000, -1.000000, -,      -,       -
303059077,    9,   35.000000, -1704, -, 168, 0,          -,      -,      -,         -,  4.848267, 12.500000, -1.000000, -,      -,       -
303059124,   67,   35.000000,  1557, -, 169, 0,          -,      -,      -,         -,  5.202883, 12.500000, -1.000000, -,      -,       -
303059126,    -,           -,     -, 1,   -, -, 300.047995, 258480, 315630,         0,         -,         -,         -, 2,  -1000,0.400000
303059145,   48,   69.000000,  -269, -, 170, 0,          -,      -,      -,         -,  4.374133, 12.500000, -1.000000, -,      -,       -
303059210,    8,   35.000000, -1379, -, 171, 0,          -,      -,      -,         -,  4.128659, 12.500000, -1.000000, -,      -,       -
303059237,   76,   35.000000,  1851, -, 172, 0,          -,      -,      -,         -,  4.712278, 12.500000, -1.000000, -,      -,       -
303059267,   16,   35.000000, -1736, -, 173, 0,          -,      -,      -,         -,  5.151592, 12.500000, -1.000000, -,      -,       -
303059328,    -,           -,     -, 1,   -, -, 293.144349, 273792, 320575,         0,         -,         -,         -, 2,  -1000,0.400000
303059360,   51,   35.000000,  2344, -, 174, 0,          -,      -,      -,         -,  4.020095, 12.500000, -1.000000, -,      -,       -
303059417,  108,  104.000000,   917, -, 175, 0,          -,      -,      -,         -,  3.466153, 12.500000, -1.000000, -,      -,       -
303059483,   33,   35.000000, -1817, -, 176, 0,          -,      -,      -,         -,  4.806313, 12.500000, -1.000000, -,      -,       -
303059502,   65,   68.000000,  -240, -, 177, 0,          -,      -,      -,         -,  4.843386, 12.500000, -1.000000, -,      -,       -
303059529,    -,           -,     -, 1,   -, -, 294.462955, 284416, 325572,         0,         -,         -,         -, 2,  -1000,0.400000
303059577,    9,   35.000000, -1177, -, 178, 0,          -,      -,      -,         -,  4.461164, 12.500000, -1.000000, -,      -,       -
303059626,   92,   36.000000,  1981, -, 179, 0,          -,      -,      -,         -,  5.761067, 12.500000, -1.000000, -,      -,       -
303059645,   42,   68.000000,  -629, -, 180, 0,          -,      -,      -,         -,  4.930179, 12.500000, -1.000000, -,      -,       -
303059698,    8,   35.000000, -1267, -, 181, 0,          -,      -,      -,         -,  4.574787, 12.500000, -1.000000, -,      -,       -
303059734,    -,           -,     -, 1,   -, -, 292.360619, 278984, 330749,         0,         -,         -,         -, 2,  -1000,0.400000
303059777,   63,   35.000000,   804, -, 182, 0,          -,      -,      -,         -,  5.382090, 12.500000, -1.000000, -,      -,       -
303059839,   69,   69.000000,  -486, -, 183, 0,          -,      -,      -,         -,  5.791434, 12.500000, -1.000000, -,      -,       -
303059873,   73,   69.000000,   818, -, 184, 0,          -,      -,      -,         -,  5.290258, 12.500000, -1.000000, -,      -,       -
303059917,   24,   35.000000, -1150, -, 185, 0,          -,      -,      -,         -,  5.682863, 12.500000, -1.000000, -,      -,       -
303059935,   55,   35.000000,  1396, -, 186, 0,          -,      -,      -,         -,  5.549383, 12.500000, -1.000000, -,      -,       -
303059937,    -,           -,     -, 1,   -, -, 281.463669, 276288, 335956,         0,         -,         -,         -, 2,  -1000,0.400000
303059986,    7,   35.000000, -1588, -, 187, 0,          -,      -,      -,         -,  5.397298, 12.500000, -1.000000, -,      -,       -
303060004,   62,   35.000000,  1515, -, 188, 0,          -,      -,      -,         -,  5.555659, 12.500000, -1.000000, -,      -,       -
303060074,    7,   35.000000, -1443, -, 189, 0,          -,      -,      -,         -,  5.269783, 12.500000, -1.000000, -,      -,       -
303060138,    -,           -,     -, 1,   -, -, 273.268321, 252640, 341193,         0,         -,         -,         -, 2,  -1000,0.400000
303060141,   86,   36.000000,  1631, -, 190, 0,          -,      -,      -,         -,  6.659723, 12.500000, -1.000000, -,      -,       -
303060201,   62,   69.000000,    62, -, 191, 0,          -,      -,      -,         -,  6.190115, 12.500000, -1.000000, -,      -,       -
303060293,   67,   68.000000,   167, -, 192, 0,          -,      -,      -,         -,  5.967967, 12.500000, -1.000000, -,      -,       -
303060340,    -,           -,     -, 1,   -, -, 271.132415, 254592, 346538,         0,         -,         -,         -, 2,  -1000,0.400000
303060340,   83,   69.000000,  -584, -, 193, 0,          -,      -,      -,         -,  7.316566, 12.500000, -1.000000, -,      -,       -
303060434,   62,  104.000000,  1073, -, 194, 0,          -,      -,      -,         -,  4.095723, 12.500000, -1.000000, -,      -,       -
303060483,  112,   36.000000,  1929, -, 195, 0,          -,      -,      -,         -,  6.428141, 12.500000, -1.000000, -,      -,       -
303060500,    6,   35.000000, -4517, -, 196, 0,          -,      -,      -,         -,  8.431064, 12.500000, -1.000000, -,      -,       -
303060524,   35,   35.000000,  2327, -, 197, 0,          -,      -,      -,         -,  6.654613, 12.500000, -1.000000, -,      -,       -
303060541,    -,           -,     -, 1,   -, -, 341.042014, 277432, 351940,         0,         -,         -,         -, 2,  -1000,0.400000
303060562,    6,   36.000000, -2217, -, 198, 0,          -,      -,      -,         -,  6.867502, 12.500000, -1.000000, -,      -,       -
303060637,   56,   35.000000,  2097, -, 199, 0,          -,      -,      -,         -,  6.283165, 12.500000, -1.000000, -,      -,       -
303060703,   76,   69.000000,    53, -, 200, 0,          -,      -,      -,         -,  6.580132, 12.500000, -1.000000, -,      -,       -
303060741,    -,           -,     -, 1,   -, -, 332.548288, 279240, 357399,         0,         -,         -,         -, 2,  -1000,0.400000
303060775,   57,   69.000000,  -749, -, 201, 0,          -,      -,      -,         -,  6.558866, 12.500000, -1.000000, -,      -,       -
303060800,   82,   69.000000,   605, -, 202, 0,          -,      -,      -,         -,  6.733466, 12.500000, -1.000000, -,      -,       -
303060848,    6,   35.000000, -2082, -, 203, 0,          -,      -,      -,         -,  6.900053, 12.500000, -1.000000, -,      -,       -
303060923,   66,   36.000000,  2026, -, 204, 0,          -,      -,      -,         -,  6.811480, 12.500000, -1.000000, -,      -,       -
303060941,    -,           -,     -, 1,   -, -, 319.016844, 290392, 362942,         0,         -,         -,         -, 2,  -1000,0.400000
303061004,   70,   69.000000,  -102, -, 205, 0,          -,      -,      -,         -,  6.940716, 12.500000, -1.000000, -,      -,       -
303061061,   86,  104.000000,   329, -, 206, 0,          -,      -,      -,         -,  5.730711, 12.500000, -1.000000, -,      -,       -
303061075,   47,   36.000000,  -969, -, 207, 0,          -,      -,      -,         -,  7.058573, 12.500000, -1.000000, -,      -,       -
303061140,    6,   35.000000, -1175, -, 208, 0,          -,      -,      -,         -,  6.500682, 12.500000, -1.000000, -,      -,       -
303061143,    -,           -,     -, 1,   -, -, 319.760864, 287632, 368628,         0,         -,         -,         -, 2,  -1000,0.400000
303061213,   81,   36.000000,  1995, -, 209, 0,          -,      -,      -,         -,  7.240003, 12.500000, -1.000000, -,      -,       -
303061277,   75,   69.000000,     3, -, 210, 0,          -,      -,      -,         -,  7.549720, 12.500000, -1.000000, -,      -,       -
303061344,    -,           -,     -, 1,   -, -, 314.928178, 289880, 374374,         0,         -,         -,         -, 2,  -1000,0.400000
303061353,   62,   69.000000,   -54, -, 211, 0,          -,      -,      -,         -,  7.212397, 12.500000, -1.000000, -,      -,       -
303061430,   84,  105.000000,   363, -, 212, 0,          -,      -,      -,         -,  5.788322, 12.500000, -1.000000, -,      -,       -
303061489,   78,   36.000000,   528, -, 213, 0,          -,      -,      -,         -,  7.543305, 12.500000, -1.000000, -,      -,       -
303061544,    -,           -,     -, 1,   -, -, 324.696414, 279744, 380181,         0,         -,         -,         -, 2,  -1000,0.400000
303061570,   61,   69.000000,  -386, -, 214, 0,          -,      -,      -,         -,  7.433000, 12.500000, -1.000000, -,      -,       -
303061641,   65,   69.000000,  -775, -, 215, 0,          -,      -,      -,         -,  7.854224, 12.500000, -1.000000, -,      -,       -
303061718,   72,   69.000000,    64, -, 216, 0,          -,      -,      -,         -,  7.955168, 12.500000, -1.000000, -,      -,       -
303061746,    -,           -,     -, 1,   -, -, 315.151862, 276240, 386137,         0,         -,         -,         -, 2,  -1000,0.400000
303061781,   79,   69.000000,   -39, -, 217, 0,          -,      -,      -,         -,  8.525756, 12.500000, -1.000000, -,      -,       -
303061853,   61,   70.000000,    13, -, 218, 0,          -,      -,      -,         -,  8.011792, 12.500000, -1.000000, -,      -,       -
303061925,   80,   69.000000,   615, -, 219, 0,          -,      -,      -,         -,  8.083249, 12.500000, -1.000000, -,      -,       -
303061946,    -,           -,     -, 1,   -, -, 307.354069, 270064, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303061999,   61,   69.000000, -1106, -, 220, 0,          -,      -,      -,         -,  8.591524, 12.500000, -1.000000, -,      -,       -
303062077,   77,  105.000000,   329, -, 221, 0,          -,      -,      -,         -,  6.762100, 12.500000, -1.000000, -,      -,       -
303062139,   75,   36.000000,  -280, -, 222, 0,          -,      -,      -,         -,  9.025637, 12.500000, -1.000000, -,      -,       -
303062147,    -,           -,     -, 1,   -, -, 328.910785, 257296, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303062211,   64,   70.000000,   212, -, 223, 0,          -,      -,      -,         -,  8.524399, 12.500000, -1.000000, -,      -,       -
303062291,   71,   69.000000,  -632, -, 224, 0,          -,      -,      -,         -,  9.145437, 12.500000, -1.000000, -,      -,       -
303062348,    -,           -,     -, 1,   -, -, 324.349960, 235736, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303062357,   70,   69.000000,  -601, -, 225, 0,          -,      -,      -,         -,  9.692519, 12.500000, -1.000000, -,      -,       -
303062435,   86,   70.000000,  2088, -, 226, 0,          -,      -,      -,         -,  8.780765, 12.500000, -1.000000, -,      -,       -
303062459,   68,   69.000000,  -841, -, 227, 0,          -,      -,      -,         -,  9.425494, 12.500000, -1.000000, -,      -,       -
303062503,   12,   36.000000, -1101, -, 228, 0,          -,      -,      -,         -,  9.035145, 12.500000, -1.000000, -,      -,       -
303062548,    -,           -,     -, 1,   -, -, 316.899170, 228120, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303062571,   63,   36.000000,  1580, -, 229, 0,          -,      -,      -,         -,  9.171554, 12.500000, -1.000000, -,      -,       -
303062649,   77,   70.000000,   975, -, 230, 0,          -,      -,      -,         -,  8.702444, 12.500000, -1.000000, -,      -,       -
303062677,   72,   69.000000,  -829, -, 231, 0,          -,      -,      -,         -,  9.589461, 12.500000, -1.000000, -,      -,       -
303062716,    7,   36.000000, -1910, -, 232, 0,          -,      -,      -,         -,  9.608697, 12.500000, -1.000000, -,      -,       -
303062750,    -,           -,     -, 1,   -, -, 306.857638, 251608, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303062783,   62,   36.000000,  2118, -, 233, 0,          -,      -,      -,         -,  9.202455, 12.500000, -1.000000, -,      -,       -
303062813,   62,   70.000000,  -283, -, 234, 0,          -,      -,      -,         -,  8.979386, 12.500000, -1.000000, -,      -,       -
303062862,   12,   35.000000, -1450, -, 235, 0,          -,      -,      -,         -,  8.933108, 12.500000, -1.000000, -,      -,       -
303062941,   71,   36.000000,  1973, -, 236, 0,          -,      -,      -,         -,  9.203645, 12.500000, -1.000000, -,      -,       -
303062951,    -,           -,     -, 1,   -, -, 295.282410, 258664, 392126,         0,         -,         -,         -, 2,  -1000,0.400000
303063008,   77,  106.000000,  -211, -, 237, 0,          -,      -,      -,         -,  7.658888, 12.500000, -1.000000, -,      -,       -
303063075,   69,   36.000000,   -36, -, 238, 0,          -,      -,      -,         -,  9.610399, 12.500000, -1.000000, -,      -,       -
303063151,   68,   70.000000,   -38, -, 239, 0,          -,      -,      -,         -,  9.517391, 12.500000, -1.000000, -,      -,       -
303063153,    -,           -,     -, 1,   -, -, 304.295324, 279760, 398269,         0,         -,         -,         -, 2,  -1000,0.400000
303063180,   73,   69.000000,    -1, -, 240, 0,          -,      -,      -,         -,  9.748364, 12.500000, -1.000000, -,      -,       -
303063224,    9,   36.000000, -1981, -, 241, 0,          -,      -,      -,         -,  9.952787, 12.500000, -1.000000, -,      -,       -
303063257,   64,   36.000000,  1890, -, 242, 0,          -,      -,      -,         -,  9.869551, 12.500000, -1.000000, -,      -,       -
303063295,   13,   36.000000, -1614, -, 243, 0,          -,      -,      -,         -,  9.976349, 12.500000, -1.000000, -,      -,       -
303063325,   60,   36.000000,  1718, -, 244, 0,          -,      -,      -,         -,  9.806370, 12.500000, -1.000000, -,      -,       -
303063354,    -,           -,     -, 1,   -, -, 289.005174, 341952, 404477,         0,         -,         -,         -, 2,  -1000,0.400000
303063360,    8,   36.000000, -1912, -, 245, 0,          -,      -,      -,         -,  9.889091, 12.500000, -1.000000, -,      -,       -
303063441,   57,   37.000000,  1888, -, 246, 0,          -,      -,      -,         -,  9.285598, 12.500000, -1.000000, -,      -,       -
303063463,   73,   69.000000,  -440, -, 247, 0,          -,      -,      -,         -,  9.973185, 12.500000, -1.000000, -,      -,       -
303063500,    9,   36.000000, -1596, -, 248, 0,          -,      -,      -,         -,  9.803698, 12.500000, -1.000000, -,      -,       -
303063555,    -,           -,     -, 1,   -, -, 279.249599, 343600, 410782,         0,         -,         -,         -, 2,  -1000,0.400000
303063577,   55,   36.000000,  1833, -, 249, 0,          -,      -,      -,         -,  9.175034, 12.500000, -1.000000, -,      -,       -
303063655,   78,   70.000000,   -48, -, 250, 0,          -,      -,      -,         -,  9.750232, 12.500000, -1.000000, -,      -,       -
303063737,   98,  385.000000,  1061, -, 251, 0,          -,      -,      -,         -, -9.103468, 12.500000, -1.000000, -,      -,       -
303063757,    -,           -,     -, 1,   -, -, 299.002899, 338376, 417217,         0,         -,         -,         -, 2,  -1000,0.400000
303063804,   45,   38.000000,  -791, -, 252, 0,          -,      -,      -,         -, -7.937126, 12.500000, -1.000000, -,      -,       -
303063869,   87,   72.000000,   262, -, 253, 0,          -,      -,      -,         -, -7.234390, 12.500000, -1.000000, -,      -,       -
303063940,   63,   69.000000,  -227, -, 254, 0,          -,      -,      -,         -, -7.392384, 12.500000, -1.000000, -,      -,       -
303063960,    -,           -,     -, 1,   -, -, 172.117073, 346928, 423786,         0,         -,         -,         -, 2,  -1000,0.400000
303064016,   70,   70.000000,    32, -, 255, 0,          -,      -,      -,         -, -7.414987, 12.500000, -1.000000, -,      -,       -
303064046,   79,   70.000000,   124, -, 256, 0,          -,      -,      -,         -, -6.943310, 12.500000, -1.000000, -,      -,       -
303064081,   15,   32.000000, -1688, -, 257, 0,          -,      -,      -,         -, -6.412080, 12.500000, -1.000000, -,      -,       -
303064158,   50,   36.000000,  1759, -, 258, 0,          -,      -,      -,         -, -7.211321, 12.500000, -1.000000, -,      -,       -
303064164,    -,           -,     -, 1,   -, -, 167.555416, 345880, 430491,         0,         -,         -,         -, 2,  -1000,0.400000
